"","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS","TARGET"
"72",14.7,0.42,0.31,22.3,0.035,201,99,0.98914,3.26,1.28,12.2535,1,7,1,3
"73",13.6,0.56,0.93,10,0.037,38,379,0.99642,4.53,0.35,15.7,1,7,1,3
"74",6.7,0.41,0.15,41.1,0.033,25,30,0.94975,3.05,0.4,0.1,1,7,3,4
"75",0.5,0.98,0.53,2.1,0.487,152,149,1.01881,2.19,0.8,6.3,1,9,1,3
"76",5.8,0.49,1.78,62.3,0.044,208,152,0.9961,3.31,2.01,9.4,0,6,1,3
"77",2.8,0.46,0.44,66,0.052,4,8,1.05282,3.33,1.67,6.9,2,11,0,0
"78",12.5,0.43,1.78,3.6,0.21757,7,45,0.96801,3.57,0.79,6.4,1,7,2,4
"79",7.4,0.18,0.29,52.2,0.171,260,366,0.96443,3.54,0.6,10.5,0,8,4,5
"80",7.1,0.49,1,46.7,0.033,16,78,0.993,2.91,0.7624,5.4,0,8,3,4
"81",3,1.52,0.46,29.2,0.05,5,13,0.9974,4.32,0.79,10.2,0,11,1,1
"82",8.1,0.24,1.86,11,0.043,41,586,0.98863,3.1828,1.38,10,2,9,0,1
"83",17.1,0.41,0.66,10.4,0.983,77,194,0.9976,3.05,0.46,8.7,1,8,1,3
"84",7.7,0.96,1.58,1.4,0.608,15,102,0.9929,3.26,0.53,10.4,1,8,1,3
"85",12.4,0.27,1.42,1.6,0.04,47,86,1.01383,2.82,0.22,7.8,0,7,1,3
"86",0.6,2.09,0.56,26.88,0.054,225,16,1.01003,2.97,0.63,9.6,0,8,2,4
"87",6.7,1.21,0.28,29,0.286,21,105,0.9949,3.27,0.37,8.6,0,8,1,3
"88",5.1,0.23,0.36,46.8,0.197,37,130,0.95194,5.1,0.43,10.1,0,7,4,5
"89",7.5,1.17,0.32,19.8,0.036,25,191.035,0.9962,2.06,0.7484,11.2409,1,8,2,4
"90",7.3,0.3,0.29,2.1,0.048,3,261,0.98956,5.01,1.36,12.6,0,7,4,6
"91",6.3,1.24,0.32,18.9,0.04,155,287,1.02361,3.24,2.18,11.3,1,7,1,3
"92",10.9,0.98,0.74,5.9,0.003,35,88,0.97137,2.88,0.46,8.4,0,7,0,1
"93",1.7,0.41,0.3,3.2,0.03,49,357,0.9927,4.44,0.39,11.7,0,7,0,1
"94",4,1.1,1.35,2.4,0.808,35,115,0.98936,3.19,0.44,18.8,1,8,2,4
"95",0.2,0.43,0.11,1.1,0.029,233,51,0.93069,2.57,0.48,15.5,1,6,1,3
"96",15.9,1.05,0.35,10.7,0.551,26,239,0.9984,3.6,0.9082,9.1,1,9,3,4
"97",6.8,0.25,2.5,2.6,0.547,92,123,0.9951,3.03,2.71,8.6,0,7,2,4
"98",3.2,1.92,0.42,5.5,0.334,29,636,0.9973,3.42,1.31,10.5,0,8,2,4
"99",6.8,0.18,0.3,138.2,0.195,88,443,0.99808,3.6,0.8,3.6,2,7,2,4
"100",17.5,0.34,1.05,3.7,0.174,6,12,0.997,3.19,0.7,12.1,1,11,0,0
"101",7.2,1.74,0.92,41.4,0.787,46,121,1.00183,3.44,0.61,10.403,0,7,1,3
"102",9.5,0.88,1.43,6.4,0.057,25,86,0.97526,3.3873,0.45,10.5,1,7,1,3
"103",12.7,0.25,0.32,50.1,0.515,211,102,0.97956,3.41,0.79,6.1,0,7,2,4
"104",6.2,1.09,1.68,1,0.031,198,73,0.99032,3.42,0.98,8.7,0,7,2,4
"105",9.1,0.55,0.45,23.9,0.049,161,222.6,0.9974,2.11,0.5,6.1,0,7,1,3
"106",4.4,0.05,1.46,9.7,0.047,46,144,0.98881,2.31,1.28,17.9,0,7,0,2
"107",2.3,0.03,1.13,2.1,0.227,8,266,1.0343,4.09,0.74,10.918,0,8,0,1
"108",0.5,0.23,0.31,46.7,0.286,312,96,0.98613,2.56,0.733800000000001,15.6,2,7,3,5
"109",8.4,0.44,0.56,2.2,0.026,108,104,0.96778,3.38,1.43,17.1,1,7,4,6
"110",6.8,0.56,0.41,61.8,0.22,79.5,183,0.99742,2.41,0.78,4.7,1,7,0,2
"111",10.9,1.13,0.96,1.1,0.556,286,84,0.9927,2.58,0.6108,14.4,1,7,1,3
"112",6.7,1.62,1.33,21.0775,0.639,127,150,0.9968,3.22,0.51,9.9,0,7,2,4
"113",7.1,0.32,0.29,43.2,0.1,20,31,0.99463,3.27,0.64,7.8,1,8,2,4
"114",6.6,1.14,0.86,7.9,0.169,55,193,0.99734,3.25,0.7589,16.2,1,7,1,3
"115",8.3,0.48,0.1,67.1,0.081,45,202,0.9983,2.61,0.53,10,0,9,0,1
"116",1.7,0.01,0.25,49.4,0.319,58,54,0.96419,3.27,1.0192,15.5,1,8,3,5
"117",1.7,2.38,0.24,44.6,0.122,18,147,0.99315,3.42,0.62,10.4,1,8,3,5
"118",7.4,1.2,1.02,2.7,0.355,30,107,0.98127,3.31,0.7179,9.9,0,8,3,5
"119",9.2,0.19,0.46,2,0.047,16,49,0.99517,3.09,0.8903,10,1,10,1,2
"120",8,1.14,0.73,65.5,0.034,41,103,0.99002,3,0.77,16.4,1,9,0,1
"121",0.2,0.26,0.26,40.2,0.036,578,214,0.9986,4.65,0.5,10,0,8,1,3
"122",15.5,0.2,1.37,42,0.015,82,307,0.98493,4.2,0.55,12.05,1,6,0,2
"123",4.8,0.75,0.28,24.8,0.134,239,322,0.96924,3.38,0.8749,11.3,1,5,1,3
"124",8.2,0.22,0.3,1.8,0.432,173,185,0.9933,3.08,0.5,14.4,1,9,4,5
"125",7.3,1.09,0.26,61,0.09,7,135,0.9944,3.01,0.89,5.6,1,8,1,3
"126",0.4,0.21,0.41,38.6,0.43,14,543,0.96566,2.96,0.53,13.4,0,10,2,4
"127",7,0.87,0.4,1.1,0.058,30,93,1.02299,2.23,0.7989,12,1,8,1,3
"128",9.4,2.085,0.2,2.4,0.355,144,143,0.97286,3.28,0.58,6.8,1,10,0,0
"129",3.4,0.42,0.03,2.4,0.061,19,74,0.99184,4.46,0.27,10.9,1,7,2,4
"130",6.7,0.42,0.46,9.7,0.054,67,228,1.00612,2.22,0.5,9,1,8,1,3
"131",7.2,0.31,0.26,24.219,0.05,37,157,0.99625,2.7,0.01,11,0,8,2,4
"132",7.1,0.23,0.56,73.15,0.063,204.5,693,1.00365,4.35,2.11,9.3,1,10,3,4
"133",6.1,0.23,0.25,6.9,0.15479,25,21,0.9955,3.19,0.4,11.051,0,7,1,3
"134",7.4,0.43,1.2,43.6,0.037,290,7,0.96874,3.25,0.37,10.4,1,8,3,5
"135",6.8,0.3,0.95,84.2,0.409,45,150,0.94879,3.04,0.8051,11.8,0,7,1,3
"136",6.6,0.88,0.9,20.205,0.138,41,168,0.95668,3.2,1.08,8.7,0,7,3,5
"137",16.4,1.32,0.28,41,0.315,218,97,0.9986,2.89,0.5,8.2,1,12,0,0
"138",7.3,1.44,2.04,12.8,0.173,73,253,0.94876,4.19,0.71,13.6,0,8,2,4
"139",7.1,1.85,0.98,33.3,0.045,88,587,0.96586,3.16,1.0811,1.4,2,8,4,5
"140",6.5,0.33,0.3,3.8,0.036,190,88,0.9442,3.25,2.01,12.5,1,7,2,4
"141",7.2,0.92,0.09,10.4,0.169,240,180.185,0.9459,2.96,2.32,10.856,1,8,1,3
"142",7,0.59,0.62,2,0.364,10,203,0.98091,3.4,0.47,16.6,1,8,2,4
"143",6.5,0.46,0.41,16.8,0.084,110,233,0.9923,4.41,0.98,13.8,0,7,1,3
"144",8.9,1.84,0.51,45.5,0.052,403,27,0.995,4.33,0.14,9.9,1,10,0,0
"145",6.8,1.285,1.48,8.5,0.327,10,87,1.01657,2.67,1.97,9.5,1,8,2,4
"146",8.2,1.42,0.4,1.8,0.047,71,187,1.03856,3.13,0.5,16.8,1,9,1,2
"147",6.4,0.31,0.66,18.3,0.258,152,101,0.9934,3.29,0.38,9,0,7,2,4
"148",19.2,1.84,0.32,12.4,0.035,169,253,0.99144,2.45,0.6,12.9,0,8,3,4
"149",22.7,0.33,2.56,46.5,0.054,40,400,1.0338,4.73,0.852,10.8,2,7,3,5
"150",0.4,1.45,0.71,2.3,0.045,295,115,1.00802,3.17,0.43,8.8,0,9,1,2
"151",0.5,0.17,0.31,19.7,0.129,13,233,0.993,2.79,0.37,9.3,0,9,2,4
"152",17.5,0.07,0.14,36.2,0.317,29,113,0.99188,3.13,1.2,18.6,0,7,1,3
"153",8,0.22,0.42,33.4,0.894,73,589,1.0003,3.81,0.69,8.6,0,9,2,4
"154",11.5,0.6,0.73,63,0.052,19,16,0.9923,3.6,0.8001,11.2,1,8,0,1
"155",9.3,1.03,0.26,33.8,0.21706,17,408,1.02106,3.29,1.99,9.8,1,8,0,1
"156",7,0.21,0.09,8.5,0.033,31,177,0.9953,3.22,0.56,2.3,1,8,0,1
"157",7.8,0.16,0.25,1.4,0.286,214,42,0.94765,2.82,0.44,11.1,1,7,2,4
"158",17.1,0.14,0.76,35.6,0.625,26,284,1.01779,3.25,0.45,18.1,1,6,3,5
"159",2.3,0.53,0.93,35.6,0.454,251,163,1.03814,5.76,0.83,10.3,0,7,1,3
"160",18.1,0.705,0.96,1.8,0.213,15,63,0.99901,3,1.59,9.5,1,8,0,1
"161",11.4,1.375,0.04,2,0.087,12,67,0.99565,3.61,1.61,9.4,0,8,0,1
"162",6.4,0.21,3.19,5.3,0.409,57,15,0.9953,3.31,1.3,9.8,0,7,2,4
"163",15.4,0.52,0.36,35.9,0.138,41,536,0.95449,3.98,0.38,5.8,0,7,0,2
"164",16,0.17,0.18,85.6,0.282,18,156,0.99666,5.03,1.84,9,0,7,3,5
"165",16.1,0.24,0.29,61.5,0.018,17,117,0.99411,3.36,0.68,6.9,0,8,3,4
"166",7,0.42,0.19,19.1335,0.071,177,232,0.99476,3.39,0.56,10.9,0,8,2,4
"167",6.2,0.25,1.97,13.5,0.046,196,831,0.99454,3.19,0.58,9.3,0,7,3,4
"168",3,1.22,1.36,19.3,0.049,149,298.69,0.95998,5.54,1.25,2.5,2,7,3,5
"169",0.8,1.18,0.33,5.4,0.04,83,96,0.9912,3.06,0.61,12.1,0,9,2,4
"170",7,0.74,0.33,1.8,0.298,232,279,1.03992,2.66,0.4,10.2475,1,7,0,2
"171",6.9,1.17,0.38,104.1,0.039,266,263,0.9943,4.25,0.42,14.3,1,7,3,5
"172",1,0.23,0.33,37.084,0.049,153,183,1.04921,4.41,0.9,9.8,1,8,3,5
"173",6.3,0.25,0.44,12.1,0.041,48,142,0.9968,3.18,0.52,9.5,1,7,0,2
"174",19.7,0.79,0.36,17.2,0.039,90.915,130,0.99946,4.36,1.11,12.4,1,7,0,1
"175",6.3,0.33,0.61,17.4625,0.048,35,161,1.00753,3.14,0.56,10.6,1,8,0,1
"176",6.1,0.23,0.37,7.9,0.02,137.496666666667,150,0.99488,2.86,0.49,5.4,1,7,4,5
"177",5,0.7,1.47,14.35,0.552,216,82,0.9988,2.93,0.63,12.8,1,8,2,4
"178",5.3,0.38,0.26,3.5,0.035,163.42,111,0.94238,3.18,0.47,14.1,2,7,0,1
"179",7.3,1.7,0.07,0.8,0.161,25,369,0.9948,2.66,0.92,9.1,1,8,2,4
"180",6.2,0.25,2.79,29.7,0.049,110.23,568,0.9972,3.19,0.06,9.9,0,7,2,4
"181",6,0.86,1.81,23.9,0.038,56,189.5,0.99637,3.59,0.43,10.6,1,6,1,3
"182",7.5,0.39,0.56,2.7,0.067,208,25,1.02427,3.24,1.18,13.6,0,8,0,1
"183",6.4,0.775,1.24,1.1,0.244,44,140,1.00548,3.17,0.34,16.7,1,7,1,3
"184",2.8,2.74,0.21,46.1,0.045,12,157,0.98664,3.45,0.21,13.2,0,9,2,4
"185",7.6,0.46,0.33,2,0.459,78,483,0.97949,3.39,0.56,5.9,0,8,2,4
"186",0.4,1.11,1.13,14.3,0.1,45,221.94,0.99816,4.08,0.63,4,0,8,1,3
"187",7.2,1.69,0.98,23.1,0,9,343,0.9972,2.65,0.9929,9.6,1,8,0,1
"188",10.4,0.15,0.36,60.5,0.425,247,134,1.0164,3.28,0.18,9.8,0,7,2,4
"189",1.5,0.16,0.27,41.3,0.496,25,135,0.97707,4.02,1.07,8.7,2,8,0,1
"190",6.1,0.34,0.46,2.4,0.029,21,215,1.02431,3.29,0.9633,9.2,0,7,0,1
"191",4,0.8,3.41,4.8,0.496,146,136,0.9932,3.3,0.96,9.8,1,8,3,5
"192",4,0.49,0.43,0.9,0.038,149,729,0.98598,3.24,0.46,10.6,0,6,2,4
"193",7.3,1.24,0.08,25,0.057,145,166,1.04535,2.54,0.36,10.3,0,9,3,4
"194",6.8,1.89,1.3,46.1,0.531,38,153,0.97853,3.24,0.22,0.9,1,7,1,3
"195",7.7,0.44,1.1,11.2,0.031,343,167,0.97879,3.4,0.43,11.3,0,8,4,5
"196",6.9,0.2,1.88,22.4,0.19184,78,167,0.99929,3.32,0.7718,12.8,1,8,0,1
"197",11.6,0.585,0.09,61.7,0.496,14,86,0.99264,3.64,0.94,11.34633333333,0,6,1,3
"198",28.9,1.28,1.1,13.7,0.056,119,76,0.98249,2.1,0.44,8.7,1,8,2,4
"199",7.4,0.3,0.61,12.5,0.377,92.46,116,0.9953,4.27,0.59,10.7629333333,2,7,1,3
"200",14.7,0.3,0.52,7.5,0.05,467,191,0.99366,3.17,1.08,6.9,1,7,1,3
"201",10.4,1.01,0.5,2.3,0.297,13,19,0.996,3.1,0.87,11.4,0,11,0,0
"202",5.8,0.6,0.22,1.3,0.046,18,66,0.99307,4.87,0.55,10.3,1,7,3,5
"203",6.1,1.76,1.1,5,0.042,17,133,1.02882,2.55,1.13,9.4,1,7,0,1
"204",5.8,0.19,0.37,1.1,0.279,31,451,0.98942,3.53,0.48,11.4,0,6,2,4
"205",7.4,0.05,0.78,56.1,0.082,258,82,0.98074,4.52,1.57,14.7,1,8,1,3
"206",4.9,1.14,1.25,57,0.38,31,40,0.9849,3.33,0.44,6.433333333,0,6,4,5
"207",6.2,0.45,1.63,13.1,0.07,3,87,0.95659,4.52,0.76,9,1,7,0,1
"208",8,0.43,1.12,12.4,0.168,29,190,1.01594,2.41,2.3,9.2,1,9,3,4
"209",9.4,0.585,0.68,16.3,0.25954,3,10,0.95612,2.21,0.71,17.2,1,10,2,4
"210",17.8,0.61,0,55.8,0.625,168,8,0.96345,2.54,0.37,10.4,0,7,0,2
"211",6.1,0.3,0.58,119.3,0.049,258,187,0.9927,1.99,0.85,9.5,1,7,0,2
"212",11.6,1.59,0.34,1.6,0.311,33,176,0.9946,2.55,0.98,9.7,2,10,2,4
"213",9.7,0.18,0.29,14.4,0.548,54,91,0.9991,3.17,1.07,8.9,1,7,2,4
"214",12.6,1.04,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,0,8,1,3
"215",7.4,0.18,0.54,1.5,0.003,159,316,0.96141,3.43,0.85,16.8,1,7,3,5
"216",0.9,0.34,0.57,30.038,0.157,29,134,0.99462,4.04,1.1,10.7,1,7,0,1
"217",12.6,1.62,0.46,60.6,0.065,5,253,0.96459,3.27,3.75,11.2,1,9,0,0
"218",4.6,2.56,1.41,61.15,0.045,86,131,1.00309,4.21,1,11.7,1,8,4,6
"219",6.8,0.15,0.24,3.8,0.254,16,458,0.9969,3.28,1.93,9.5,0,8,0,1
"220",0.8,0.28,0.29,42.4,0.051,121,205.33,1.06875,3.07,0.99,6,1,7,1,3
"221",5.9,0.51,1.3,1.4,0.141,52,119,0.9931,4.19,1.73,10.5,1,6,1,3
"222",6.9,0.24,0.39,55.9,0.087,223,136,0.9928,2.66,0.6898,15,1,8,1,3
"223",10.4,0.27,2.71,7.6,1.228,35,432,1.03513,4.62,0.81,16.1,1,7,3,5
"224",9.2,0.37,0.28,39.5,0.043,17,196,1.01507,3.99,0.879,13.2,1,7,0,1
"225",17,1.44,0.83,6.1,0.602,445,167,0.99054,3.19,2.57,13.7,0,7,2,4
"226",11.1,1.43,1.74,38.5,0.28,3,141,0.9962,3.25,0.51,3.3,1,9,3,4
"227",5.6,0.64,1.25,48.1,0.043,21,159,0.9948,3.52,0.8342,18.1,1,8,0,1
"228",0.1,0.24,0.31,2.8,0.427,122,330,1.01812,2.53,2.37,11.7,0,7,0,1
"229",11.8,0.25,0.93,1.1,0.076,5,17,0.96222,3.36,0.49,3.3,0,10,0,1
"230",1.7,0.44,1.09,12.1,0.056,68,210,0.98551,4.26,1.19,14.2,1,8,0,1
"231",5.9,2.83,0.36,38.2,0.05,213,805,0.96997,3.41,1.25,11.9,0,7,3,4
"232",7.3,0.04,0.3,40.2,0.044,15,144,0.99666,3.49,0.2,5.8,1,7,2,4
"233",8.3,0.25,0.19,50.2,0.048,154,654,1.0001,3.03,0.52,9.632,0,9,1,3
"234",17.8,1.62,1.28,1.4,0.053,31,696.5,0.9924,2.5,0.72,9.8,1,7,0,2
"235",2.9,2.1,0.28,11.25,0.305,215,87,0.9922,3.02,0.7293,12.4,0,7,0,1
"236",10.7,1.33,1.16,40,0.29,138,57,1.0001,3.3,0.37,8.8,1,7,1,3
"237",19.7,0.55,0.28,1.7,0.073,21,165,1.0039,2.97,0.82,9.1,1,8,1,3
"238",7.2,1.26,1.17,37.6,0.049,3,94,0.95055,3.2,1.0949,4.7,0,8,1,3
"239",6,0.5,0.92,27.7,0.042,198,176.33,1.01362,3.07315,0.54,10.8,1,7,1,3
"240",16.3,1.21,1.87,1.7,0.034,41,193,1.041,3.25,0.93,10.4,0,7,2,4
"241",7,1.63,0.24,1.9,0.04,11,144,0.97392,3.35,0.38,5.6,0,8,2,4
"242",8.9,0.48,0.53,4,0.101,3,370,0.99586,3.74,0.59,12.1,0,10,0,1
"243",7.8,0.55,0.25,12,0.454,112,186,0.98292,3.3037,0.81,9.3,1,7,0,1
"244",10.8,0.54,1.36,35.5,0.317,195,31,1.01861,4.19,0.44,10.6,0,10,0,0
"245",17.6,1.45,0.11,35.1,0.444,2,151,0.9946,3.06,0.6,16.3,1,7,0,1
"246",13.8,0.96,0.28,5,0.48,14,491,0.97505,2.19,0.36,9.1,2,7,0,2
"247",8.6,0.68,0.18,60.5,0.088,22,328,0.9979,3.29,1.4,5,1,11,2,3
"248",11.5,0.58,1.49,2.2,0.11,14,138,0.9932,3.67,0.5,9.1,1,7,1,3
"249",6.7,0.15,1.36,24.764,0.507,208,657,0.9946,3.97,1.31,10.2,1,7,1,3
"250",6.4,0.31,0.61,2.5,0.039,494,192,0.98946,3.22,0.38,12.7,0,7,0,2
"251",13.3,0.73,0.43,56.9,0.16347,20,269,0.9966,3.15,0.62,11,2,11,0,0
"252",7.3,0.59,0.26,7.2,0.046,35,205.69,1.01687,3.37,0.8397,8.7,0,8,0,1
"253",7.3,0.17,0.85,22.9,0.111,116,352,0.99508,3.1528,1.11,12,1,8,0,1
"254",6.6,0.21,0,3,0.115,44,421,0.98526,3.45,0.86,5.2,0,7,0,2
"255",8.5,0.19,0.49,36,0.362,218,117,0.9938,3.0857,0.51,12.8,0,9,3,5
"256",8.3,2.26,1.2,1.8,0.427,28,230,0.9907,2.09,1.96,9.3,2,7,3,5
"257",14.5,0.29,1.09,30.2,0.37,86,160,0.9944,3.14,0.47,10.8856666667,1,8,0,1
"258",5.3,0.71,0.14,27.9,0.513,36,215,1.0375,3.3651,0.33,14.6,0,6,3,5
"259",6.3,1.59,0.23,2.9,0.047,127,365,1.02021,3.28,0.48,8.5,0,7,1,3
"260",0,2.17,1.43,2,0.083,17,242,0.99616,4.35,0.08,9.8,1,8,0,1
"261",6.1,0.64,0.27,50.9,0.048,30,298,0.99498,3.21,0.51,9.9,0,7,3,4
"262",7,0.7,0.23,5.7,0.123,108,312,0.9954,3.04,0.54,9.4,1,7,4,5
"263",6.9,1.03,0.28,2.2,0.378,39,93,0.98914,3.31,0.43,12.04033333333,0,7,3,5
"264",6.8,0.4,0.01,16.1,0.444,330,196,0.98623,3.15,0.58,9.3,1,7,1,3
"265",13.5,1.09,0.22,23.4,0.025,169,216,0.95219,3.33,0.6,9.6,0,7,2,4
"266",8.1,1.02,0,26.266,0.043,57,176,1.01203,3.86,0.55,6.3,0,9,2,4
